1.1.1.107	21337	1
1.1.1.108	19266	1
1.1.1.110	20134	1
1.1.1.111	12037	1
1.1.1.111	12041	1
1.1.1.112	16318	1
1.1.1.112	16322	1
1.1.1.113	15790	1
1.1.1.114	15302	1
1.1.1.115	11677	1
1.1.1.116	20458	1
1.1.1.117	21893	1
1.1.1.117	20458	1
1.1.1.118	14294	1
1.1.1.119	14406	1
1.1.1.120	18626	1
1.1.1.121	15918	1
1.1.1.123	15002	1
1.1.1.124	14070	1
1.1.1.125	12161	1
1.1.1.126	15110	1
1.1.1.127	24233	1
1.1.1.129	23377	1
1.1.1.130	21929	1
1.1.1.130	21925	1
1.1.1.131	10637	1
1.1.1.131	10633	1
1.1.1.132	21729	1
1.1.1.133	21797	1
1.1.1.134	23649	1
1.1.1.135	10729	1
1.1.1.135	10725	1
1.1.1.136	13326	1
1.1.1.137	19922	1
1.1.1.137	19926	1
1.1.1.138	16766	1
1.1.1.140	19838	1
1.1.1.141	11877	1
1.1.1.142	20438	1
1.1.1.143	11301	1
1.1.1.144	10665	1
1.1.1.148	16702	1
1.1.1.148	16706	1
1.1.1.149	15854	1
1.1.1.149	15858	1
1.1.1.150	11449	1
1.1.1.151	23713	1
1.1.1.152	10357	1
1.1.1.153	18954	1
1.1.1.153	32628	1
1.1.1.154	15334	1
1.1.1.154	15330	1
1.1.1.156	12754	1
1.1.1.157	16198	1
1.1.1.159	19410	1
1.1.1.160	15926	1
1.1.1.162	18006	1
1.1.1.163	11729	1
1.1.1.164	22057	1
1.1.1.165	19102	1
1.1.1.166	10517	1
1.1.1.167	11285	1
1.1.1.168	18982	1
1.1.1.169	16234	1
1.1.1.172	14794	1
1.1.1.173	12650	1
1.1.1.174	18142	1
1.1.1.175	13862	1
1.1.1.176	14130	1
1.1.1.177	19774	1
1.1.1.178	13282	1
1.1.1.179	22001	1
1.1.1.181	11897	1
1.1.1.183	14522	1
1.1.1.184	19258	1
1.1.1.185	10329	1
1.1.1.185	10325	1
1.1.1.186	12397	1
1.1.1.187	10729	1
1.1.1.187	13826	1
1.1.1.187	13830	1
1.1.1.187	10725	1
1.1.1.188	10141	1
1.1.1.189	24509	1
1.1.1.190	14874	1
1.1.1.191	17038	1
1.1.1.192	17978	1
1.1.1.193	17846	1
1.1.1.194	22445	1
1.1.1.195	10393	1
1.1.1.196	20745	1
1.1.1.197	11637	1
1.1.1.198	17330	1
1.1.1.199	21877	1
1.1.1.200	20038	1
1.1.1.202	23189	1
1.1.1.203	22405	1
1.1.1.205	11709	1
1.1.1.206	18358	1
1.1.1.207	13918	1
1.1.1.208	23813	1
1.1.1.209	20382	1
1.1.1.209	20378	1
1.1.1.210	16298	1
1.1.1.214	18982	1
1.1.1.215	16654	1
1.1.1.216	14698	1
1.1.1.217	16406	1
1.1.1.218	14322	1
1.1.1.218	14318	1
1.1.1.219	23017	1
1.1.1.220	11773	1
1.1.1.221	22805	1
1.1.1.222	10777	1
1.1.1.222	10781	1
1.1.1.223	20861	1
1.1.1.224	14926	1
1.1.1.225	14402	1
1.1.1.226	17430	1
1.1.1.227	22129	1
1.1.1.228	18330	1
1.1.1.229	21009	1
1.1.1.230	20817	1
1.1.1.231	21421	1
1.1.1.232	23265	1
1.1.1.232	23261	1
1.1.1.233	11541	1
1.1.1.234	11229	1
1.1.1.235	23169	1
1.1.1.236	24245	1
1.1.1.237	23365	1
1.1.1.238	21425	1
1.1.1.239	14930	1
1.1.1.240	23145	1
1.1.1.241	11737	1
1.1.1.243	13630	1
1.1.1.244	19402	1
1.1.1.245	10045	1
1.1.1.247	19210	1
1.1.1.248	10109	1
1.1.1.250	17390	1
1.1.1.251	15138	1
1.1.1.252	21909	1
1.1.1.254	11557	1
1.1.1.255	15030	1
1.1.1.256	12213	1
1.1.1.256	12217	1
1.1.1.257	24413	1
1.1.1.258	14226	1
1.1.1.259	11169	1
1.1.1.260	24485	1
1.1.1.261	21417	1
1.1.1.261	21413	1
1.1.1.262	25140	1
1.1.1.262	14454	1
1.1.1.262	32276	1
1.1.1.263	20666	1
1.1.1.264	21177	1
1.1.1.264	21173	1
1.1.1.265	18530	1
1.1.1.265	18526	1
1.1.1.266	36584	1
1.1.1.266	36580	1
1.1.1.267	13718	1
1.1.1.268	13250	1
1.1.1.269	21053	1
1.1.1.270	18410	1
1.1.1.271	18886	1
1.1.1.272	35736	1
1.1.1.273	20030	1
1.1.1.274	23829	1
1.1.1.275	14826	1
1.1.1.276	21597	1
1.1.1.277	22945	1
1.1.1.278	18138	1
1.1.1.279	24353	1
1.1.1.280	18270	1
1.1.1.281	13826	1
1.1.1.281	13830	1
1.1.1.282	17742	1
1.1.1.282	18426	1
1.1.1.282	22365	1
1.1.1.282	17738	1
1.1.1.283	21749	1
1.1.1.284	19986	1
1.1.1.284	19982	1
1.1.1.285	16138	1
1.1.1.285	16142	1
1.1.1.286	11901	1
1.1.1.286	23633	1
1.1.1.287	11869	1
1.1.1.287	21277	1
1.1.1.288	12549	1
1.1.1.289	14610	1
1.1.1.290	18830	1
1.1.1.291	15506	1
1.1.1.292	24209	1
1.1.1.294	24773	1
1.1.1.294	24769	1
1.1.1.295	25368	1
1.1.1.295	25364	1
1.1.1.296	32388	1
1.1.1.296	32392	1
1.1.1.296	32396	1
1.1.1.296	32400	1
1.1.1.296	32420	1
1.1.1.296	32408	1
1.1.1.296	32412	1
1.1.1.296	32416	1
1.1.1.296	32404	1
1.1.1.297	32384	1
1.1.1.297	32380	1
1.1.1.298	26439	1
1.1.1.299	21433	1
1.1.1.299	10825	1
1.1.1.300	25034	1
1.1.1.301	26370	1
1.1.1.301	26003	1
1.1.1.302	27275	1
1.1.1.302	27279	1
1.1.1.303	22901	1
1.1.1.304	27287	1
1.1.1.305	24703	1
1.1.1.306	28503	1
1.1.1.306	28499	1
1.1.1.307	27442	1
1.1.1.307	27446	1
1.1.1.308	28075	1
1.1.1.309	28079	1
1.1.1.310	28195	1
1.1.1.311	28199	1
1.1.1.312	29588	1
1.1.1.313	29592	1
1.1.1.314	30160	1
1.1.1.314	30164	1
1.1.1.314	30668	1
1.1.1.316	31560	1
1.1.1.317	31676	1
1.1.1.318	32656	1
1.1.1.318	24691	1
1.1.1.319	36244	1
1.1.1.319	24696	0
1.1.1.320	31892	1
1.1.1.320	25969	1
1.1.1.321	25965	1
1.1.1.322	32332	1
1.1.1.322	32336	1
1.1.1.323	32340	1
1.1.1.323	32344	1
1.1.1.324	32660	1
1.1.1.324	32604	1
1.1.1.324	32608	1
1.1.1.324	32612	1
1.1.1.324	32616	1
1.1.1.325	32620	1
1.1.1.325	32624	1
1.1.1.326	32328	1
1.1.1.327	32880	1
1.1.1.328	34024	1
1.1.1.328	34028	1
1.1.1.329	33880	1
1.1.1.329	33884	1
1.1.1.331	33888	1
